DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LTU: Lithuania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Skilled health personnel),,Official Statistics Portal; 2021 (https://osp.stat.gov.lt/nacionaliniai-darnaus-vystymosi-rodikliai; accessed 30/12/2021),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LTU: Lithuania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Skilled health personnel),,Official Statistics Portal; 2021 (https://osp.stat.gov.lt/nacionaliniai-darnaus-vystymosi-rodikliai; accessed 30/12/2021),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LTU: Lithuania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Skilled health personnel),,Official Statistics Portal; 2021 (https://osp.stat.gov.lt/nacionaliniai-darnaus-vystymosi-rodikliai; accessed 30/12/2021),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LTU: Lithuania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included,,Official Statistics Portal; see: https://osp.stat.gov.lt/darnaus-vystymosi-rodikliai.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDG: Madagascar,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,50.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018,,,EOF: End of fieldwork,,2004-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDG: Madagascar,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2021,59.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2021,,,EOF: End of fieldwork,,2004-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDG: Madagascar,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,46.1,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (Doctor, midwife, nurse, other qualified personel)",,INSTAT et UNICEF. Enquête par grappes à indicateurs multiplesMICS Madagascar; 2018; Rapport final. Antananarivo; Madagascar: INSTAT et UNICEF; 2019. (in French),Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDG: Madagascar,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,45.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife (Doctors, nurses and midwives)",,Institut National de la Statistique (INSTAT) et ICF. 2022. Enquête Démographique et de Santé à Madagascar; 2021. Antananarivo; Madagascar et Rockville; Maryland; USA : INSTAT et ICF.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MWI: Malawi,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2020,50.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019-2020,,,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MWI: Malawi,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,96.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,National Statistical Office. 2021. Malawi Multiple Indicator Cluster Survey 2019-20; Survey Findings Report.Zomba; Malawi: National Statistical Office.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2020,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MYS: Malaysia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (doctors, nurses and community nurses)",,Health Indicators 2019: Indicators for Monitoring and Evaluation of Strategy Health for All. Putrajaya: Ministry of Health [Malaysia]; 2019.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MYS: Malaysia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (doctors, nurses and community nurses)",,Health Indicators 2020: Indicators for Monitoring and Evaluation of Strategy Health for All. Putrajaya: Ministry of Health [Malaysia]; 2020.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLI: Mali,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,43.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2018,,,EOF: End of fieldwork,,2001-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLI: Mali,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,67.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife (Doctor, nurse/midwife, matrone)",,Sixième Enquête Démographique et de Santé auMali 2018. Bamako; Rockville; Maryland: Institut National de la Statistique (INSTAT); Cellule de Planification et de Statistique Secteur Santé-DéveloppementSocial et Promotion de la Famille (CPS/SS-DS-PF); ICF; 2019.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLT: Malta,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,National Obstetric Information System (NOIS). Annual Report – 2018. Malta: Directorate for Health Information and Research (DHIR); 2019. https://deputyprimeminister.gov.mt/en/dhir/Pages/Registries/births.aspx,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLT: Malta,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,National Obstetric Information System (NOIS). Annual Report – 2019. Malta: Directorate for Health Information and Research (DHIR); 2020. https://deputyprimeminister.gov.mt/en/dhir/Pages/Registries/births.aspx,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLT: Malta,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,99.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Health care professionals),,National Obstetric Information System; Directorate for Health Information and Research [Malta] 2020; 2021,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLT: Malta,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,99.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Skilled health personnel),,National Obstetric Information System; Directorate for Health Information and Research [Malta] 2021; 2022,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MRT: Mauritania,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2021,38.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2021,,,EOF: End of fieldwork,,2001-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MRT: Mauritania,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,70.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (Gynecologists/physicians, nurses/midwives and auxiliary birth attendants)",,Office Nationale de la Statistique (ONS); ministère de la Santé (MS); et ICF. 2021. Enquête Démographique et de Santé en Mauritanie 2019-2021. Nouakchott; Mauritanie et Rockville; Maryland; USA : ONS; MS; et ICF.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MUS: Mauritius,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Sustainable Development Goals [online database]. Port Louis: Statistics Mauritius; 2020 (https://statsmauritius.govmu.org/Pages/Statistics/By_Subject/SDGs/SB_SDG.aspx; accessed 8 January 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MUS: Mauritius,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,99.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Sustainable Development Goals [online database]. Port Louis: Statistics Mauritius; 2020 (https://statsmauritius.govmu.org/Pages/Statistics/By_Subject/SDGs/SB_SDG.aspx; accessed 8 January 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MUS: Mauritius,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,99.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Ministry of Health and Wellness,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MUS: Mauritius,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,99.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Ministry of Health and Wellness,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNG: Mongolia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,88.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Social Indicator Sample Survey-2018; Survey Findings Report. Ulaanbaatar; Mongolia: National Statistical Office of Mongolia,,,EOF: End of fieldwork,,2010-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNG: Mongolia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,Definition includes other cadres that is not in alignment with the standard definition (Skilled birth attendant incl. auxiliary midwives (0.2)),,Mongolia Social Indicator Sample Survey - 2018. (Multiple Indicator Cluster Survey). Survey Findings Report. Ulaanbaatar: National Statistical Office of Mongolia; 2019.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNE: Montenegro,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,94.2,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2018,,,EOF: End of fieldwork,,2013-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNE: Montenegro,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,98.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,2018 Montenegro Multiple Indicator Cluster Survey and 2018 Montenegro Roma Settlements Multiple Indicator Cluster Survey; Survey Fndings Report. Podgorica: Statistical Office of Montenegro (MONSTAT); UNICEF; 2019.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MSR: Montserrat,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos; accessed 30 December 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MSR: Montserrat,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Trained personnel),,PLISA Health Information Platform. Indicator profile: Deliveries attended by skilled birth attendants (%) [online database]. Washington; DC: Pan American Health Organization/World Health Organization (PAHO/WHO); 2021 (https://opendata.paho.org/es/indicadores-basicos/tablero-de-los-indicadores-basicos; accessed 30 December 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2001-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MAR: Morocco,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,53.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Enquête Nationale sur la Population et la Santé Familiale 2018,,,EOF: End of fieldwork,,2004-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MAR: Morocco,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,86.6,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Enquête Nationale sur la Population et la Santé Familiale (ENPSF) 2018. Rapport final. Rabat: Ministère de la Santé [Morocco]; 2019 (in French).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2004-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MOZ: Mozambique,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,51,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Malaria Indicator Survey 2018,Statcompiler,,EOF: End of fieldwork,,2003-2018,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NPL: Nepal,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2019,77.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2019,,,EOF: End of fieldwork,,2001-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NPL: Nepal,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,77.2,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (Doctor, nurse/midwife  and auxilliary nurse midwife)",,Nepal Multiple Indicator Cluster Survey (MICS) 2019; Survey Findings Report. Kathmandu: Central Bureau of Statistics (CBS); UNICEF Nepal; 2020.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NZL: New Zealand,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,96.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,Report on Maternity web tool [online database]. Birth place and year and DHB. Wellington: Ministry of Health [New Zealand]; 2020 (https://minhealthnz.shinyapps.io/Maternity_report_webtool/; accessed 8 January 2021).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NZL: New Zealand,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,96.5,0: Units,PCNT: %,RP: Reported,F: Free,,,,Institutional Birth (IB): includes all deliveries that occurred at a health facility,,Report on Maternity web tool [online database]. Birth place and year and DHB. Wellington: Ministry of Health [New Zealand]; 2022 (https://minhealthnz.shinyapps.io/Maternity_report_webtool/; accessed 6 June 2022).,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NER: Niger,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2021,37.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,L'Enquête Nationale sur la Fécondité et la Mortalité des Enfants (Résultats préliminaires); ENAFEME Niger 2021,,,EOF: End of fieldwork,,2006-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NER: Niger,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,43.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (Doctor, nurse/midwife, auxiliary midwife)",,L'Enquête Nationale sur la Fécondité et la Mortalité des Enfants (Résultats préliminaires); ENAFEME Niger 2021,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NGA: Nigeria,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2018,56.8,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Demographic and Health Survey 2018,,,EOF: End of fieldwork,,2003-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NGA: Nigeria,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2021,60.4,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple Indicator Cluster Survey 2021,,,EOF: End of fieldwork,,2003-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NGA: Nigeria,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,43.3,0: Units,PCNT: %,RP: Reported,F: Free,,,,Definition includes other cadres that is not in alignment with the standard definition,,Nigeria Demographic and Health Survey 2018. Abuja; Rockville; Maryland; USA: National Population Commission (NPC) [Nigeria]; ICF International; 2019.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2003-2022,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NGA: Nigeria,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2022,50.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Definition includes other cadres that is not in alignment with the standard definition (Medical doctor, Nurse/Midwife, Other qualified (Auxiliary midwife, MCH Aide, Community Health Extension worker))",,National Bureau of Statistics (NBS) and United Nations Children's Fund (UNICEF). August; 2022.Multiple Indicator Cluster Survey 2021; Survey Findings Report. Abuja; Nigeria: National Bureau ofStatistics and United Nations Children's Fund.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2003-2022,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MKD: North Macedonia,MNCH_ANC4: Antenatal care 4+ visits - percentage of women (aged 15-49 years) attended at least four times during pregnancy by any provider,F: Female,2019,95.7,0: Units,PCNT: %,RP: Reported,F: Free,,,,,,Multiple indicator cluster survey 2018 (MICS). Skopje; the former Yugoslav Republic of Macedonia: Ministry of Health; Ministry of Education and Science; Ministry of Labour and Social Policy,,,EOF: End of fieldwork,,2011-2019,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MKD: North Macedonia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2018,99.9,0: Units,PCNT: %,RP: Reported,F: Free,,,,Unclear definition of the cadres included (Health personnel),,Statistical Yearbook of the Republic of Macedonia 2019. Skopje: State Statistical Office [Macedonia]; 2019.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MKD: North Macedonia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2019,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,State Statistical Office and UNICEF. 2018-2019 North Macedonia Multiple Indicator Cluster Survey and 2018-2019 North Macedonia Roma Settlements Multiple Indicator Cluster Survey; Survey Findings Report. Skopje; North Macedonia: State Statistical Office and UNICEF; 2020.,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MKD: North Macedonia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2020,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Statistical Yearbook of Republic of North Macedonia; 2021. Skopje: State Statistical office ( Republic of North Macedonia); 2021,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MKD: North Macedonia,MNCH_SAB: Skilled birth attendant - percentage of deliveries attended by skilled health personnel,F: Female,2021,100,0: Units,PCNT: %,RP: Reported,F: Free,,,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",,Statistical Yearbook of Republic of North Macedonia; 2022. Skopje: State Statistical office ( Republic of North Macedonia); 2022,Joint UNICEF-WHO Database on Skilled Birth Attendance 2023 (SDG inclusion=1),,EOF: End of fieldwork,,2000-2021,Y15T49: 15 to 49 years old
